Date,Close,High,Low,Open,Volume
2024-09-04,1831.8656005859375,1867.8854298109418,1795.845771360933,1821.5742208073648,73571700.0
2024-09-05,1826.719970703125,1837.0113508197621,1780.408760178257,1831.8656607614435,64913100.0
2024-09-06,1785.55419921875,1821.5740245632205,1780.4085098838257,1816.4283352282962,45222100.0
2024-09-09,1795.8458251953125,1800.991515238852,1744.3889247599166,1785.5544451082333,82176000.0
2024-09-10,1795.8458251953125,1831.8656555000894,1770.1173749776144,1795.8458251953123,74744100.0
2024-09-11,1811.2828369140625,1816.4285267916594,1785.5543875260787,1795.8457672812722,81318300.0
2024-09-12,1981.090576171875,2084.0043723366475,1955.3621271306818,2017.1104048295454,531570400.0
2024-09-13,1888.46826171875,1975.9449931880108,1883.322571632323,1975.9449931880108,208787000.0
2024-09-16,1888.46826171875,1975.9449931880108,1883.322571632323,1975.9449931880108,208787000.0
2024-09-17,1934.779541015625,1945.070921552942,1837.011425911112,1888.4683285976978,136509300.0
2024-09-18,1878.1766357421875,1945.0705981110875,1873.0309463291953,1934.7792192851027,101840000.0
2024-09-19,1883.3223876953125,1903.9051460307803,1842.1568710243766,1883.3223876953123,127737900.0
2024-09-20,1898.75927734375,1924.4877228362127,1873.0308318512873,1888.467899146765,152237900.0
2024-09-23,1903.9053955078125,1924.4881565403293,1898.7597052496833,1914.196776024071,70067100.0
2024-09-24,1924.48779296875,1934.7791715407752,1898.7593465386863,1919.3421036827372,111192200.0
2024-09-25,1898.75927734375,1934.7791010331978,1893.6135882452575,1934.7791010331978,75405400.0
2024-09-26,1945.0706787109375,1945.0706787109377,1903.9051617011824,1914.1965409536213,76548100.0
2024-09-27,2011.9647216796875,2027.4017911554906,1924.487994650136,1945.0707539512068,121060900.0
2024-09-30,1960.5078125,2022.2560900590552,1960.5078125,2011.9647104658793,72652500.0
2024-10-01,2017.110595703125,2022.2562859982859,1909.0510995047432,1970.7993830466755,131208500.0
2024-10-02,1991.3818359375,2006.8189044331396,1970.799077943314,2006.8189044331396,51106900.0
2024-10-03,1970.7989501953125,1991.381706855316,1970.7989501953127,1986.236017690315,28529100.0
2024-10-04,1960.5078125,2001.6733308727034,1960.5078125,1981.0905716863517,42159000.0
2024-10-07,2001.67333984375,2022.2560991223488,1975.9448907455012,2001.6733398437498,78469800.0
2024-10-08,1955.3619384765625,2006.8188315943669,1955.3619384765627,2006.8188315943669,70099000.0
